"","latitude","longitude","Unit","multi","YrNights"
"47",38.9091153223922,-77.022851790638,1,1,12
"48",38.9366898366731,-77.019954238076,0,1,6
"49",38.906723938999,-77.0532626605905,1,1,258
"50",38.9037289939655,-77.0514041910914,1,1,12
"51",38.9087908291224,-77.0240273125702,1,1,24
"52",38.9116780432058,-77.0350093614094,1,0,80
"53",38.9074138110676,-77.0518850755426,1,1,6.78904109589041
"54",38.8917991721277,-76.9940662737985,1,1,2.84383561643836
"55",38.8975112991449,-76.9925692135325,0,1,120
"56",38.9262442794149,-77.1030128446022,1,1,12
"57",38.9315113540335,-77.0398990428525,0,1,18
"58",38.9327814576916,-77.0421137953083,1,1,18
"59",38.9331188712575,-77.040436504461,0,1,12
"60",38.9211373723113,-77.0486970729685,0,1,96
"61",38.9216630137203,-77.0487688697355,0,1,30
"62",38.9246712419914,-77.0320992481155,1,0,6
"63",38.9337515592979,-77.0292402174937,1,0,6
"64",38.9104277500003,-77.020619066038,0,0,24
"65",38.9468430207451,-77.0229431654481,1,1,108
"66",38.9254949748549,-77.03364974013,1,0,60
"67",38.9157296277644,-77.007211777157,0,0,96
"68",38.8918326779668,-76.9830112050278,1,0,12
"69",38.9047591183891,-76.9849195116106,0,1,120
"70",38.9046660747428,-76.9862678975053,0,1,112
"71",38.9189005033352,-77.0314152806023,1,0,240
"72",38.8669361406735,-76.9767110753187,1,0,66
"73",38.9038442522939,-77.0631017177505,0,1,77.6712328767123
"74",38.9123511972699,-77.0187325977524,0,1,80
"75",38.9010744877645,-77.0192463472471,1,1,18
"76",38.9015482359232,-77.0499868076896,1,1,156
"77",38.9061177283677,-76.9888730923821,1,1,12
"78",38.8976848667875,-76.9711252961525,1,0,1.84109589041096
"79",38.9244746063568,-77.0397156638965,0,0,12
"80",38.9170348640818,-77.0167178466522,0,1,318
"81",38.8977196102706,-76.9941096478541,0,1,36
"82",38.9757437605744,-77.025883182838,0,0,378
"83",38.8980574147163,-76.9440356349857,1,0,6
"84",38.9072454350847,-77.0489748052927,1,1,12
"85",38.9090174992702,-77.048953922005,1,1,144
"86",38.9073708178965,-77.0474401790806,1,1,30
"87",38.925079766674,-77.1025588311095,1,1,348
"88",38.9493413977322,-77.0229451714926,1,1,36
"89",38.934232777273,-77.0301387594274,1,0,20.8438356164384
"90",38.8604749406627,-76.9891760803952,0,1,6
"91",38.9054866981485,-77.0507741577852,1,1,42
"92",38.9664789155757,-77.0322806353952,0,0,72
"93",38.9223445968052,-77.0452474854195,1,0,24
"94",38.9122842209028,-77.0476604297646,0,1,18
"95",38.9231983987343,-77.1016631028901,0,0,120
"96",38.9119271458875,-77.045660887284,0,1,0.591780821917808
"97",38.9129865625535,-77.0096404470872,0,1,12
"98",38.8785927198331,-76.985190438321,1,0,30
"99",38.9083089640537,-77.0236378589885,1,1,456
"100",38.9014449138379,-77.0134721089917,1,1,546
"101",38.9200921898213,-77.0413735836083,1,0,90
"102",38.9102424712401,-77.0233997608583,0,1,12
"103",38.861510320714,-76.987686926365,0,1,102
"104",38.9012347682508,-77.0175180164504,1,0,90
"105",38.9699534359595,-77.0198353249709,1,1,12
"106",38.9096237445789,-77.0101715899344,0,0,24
"107",38.9253506332478,-77.0407514176789,1,0,102
"108",38.9729122718958,-77.0206311986221,1,0,48
"109",38.9252170740167,-77.1021879481581,1,1,14
"110",38.9252700258732,-77.1012907513089,1,1,42
"111",38.9403613278719,-77.0160118251409,0,1,6
"112",38.9383871190958,-77.0178341927586,0,1,300
"113",38.9136206107383,-77.046865930903,0,1,228
"114",38.9010559462393,-77.0341578639952,1,1,40
"115",38.892832022228,-77.018999047752,1,1,114
"116",38.9108420050708,-77.0379404435903,1,1,42
"117",38.9436290505615,-77.045622972879,1,0,120
"118",38.9809683563023,-77.024727895502,0,0,198
"119",38.9039478242391,-77.0534408501616,1,1,48
"120",38.9168464150623,-77.0133266900006,0,1,102
"121",38.8997469788551,-77.0484773339646,1,1,30
"122",38.8853469027782,-76.9818331421324,0,1,6
"123",38.907263575986,-77.0316936085674,1,0,14
"124",38.9005098816702,-77.0486490554584,1,1,414
"125",38.9279803304923,-77.0324202896063,0,0,6
"126",38.8586969537141,-76.9873576816241,0,0,108
"127",38.9670318266288,-77.0042640832303,0,0,24
"128",38.9061317085569,-77.0247908888459,0,1,234
"129",38.8966103248248,-76.9870275486241,0,1,102
"130",38.9121120249683,-77.0458975909307,0,1,132
"131",38.9098403618762,-77.0413149354764,1,1,28
