id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
4711019,"Modern, cozy and artsy apartment ",16635254,Matias,Balboa Park,32.71547959317919,-117.13120041724933,Entire home/apt,175,2,3,2015-07-06,1.73,1,244
359838,Tropical 3 min to convention center,861297,Terry,Balboa Park,32.71708187550326,-117.13934305884314,Entire home/apt,125,2,10,2015-06-07,0.27,12,298
3489449,Private Canyon Oaisis + Bikes,10375245,Lisa,Balboa Park,32.71862797869613,-117.13399061674858,Entire home/apt,275,1,0,,,1,347
1177477,Character Filled Dutch Colonial!,2442532,Amanda,Balboa Park,32.72026989307162,-117.13890787790095,Entire home/apt,225,3,7,2015-06-11,0.29,2,49
2502282,Luxury for four Convention Center,861297,Terry,Balboa Park,32.71658734155195,-117.13930950400407,Entire home/apt,125,1,14,2015-06-11,0.97,12,308
2927366,100 % Non Smoking Property,14930271,Jill,Balboa Park,32.72323684765452,-117.13250522379819,Entire home/apt,125,2,45,2015-07-04,3.56,1,299
2547043,Quality for four Convention center ,861297,Terry,Balboa Park,32.71571126366301,-117.13852488868037,Entire home/apt,125,1,5,2015-06-23,0.41,12,306
4341122,Adorable San Diego Guest House,8336938,Aaron,Balboa Park,32.727354370666745,-117.12956561080779,Entire home/apt,115,3,2,2015-03-11,0.33,9,354
3574962,Charming South Park Urban Oasis,18002650,Cindy,Balboa Park,32.722239867034496,-117.12902423864806,Entire home/apt,175,1,8,2015-06-14,0.68,1,362
1220731,Sleeps 12- 5 min to Convention Cnt,861297,Terry,Balboa Park,32.71795826391632,-117.13859183217733,Entire home/apt,375,1,16,2015-06-15,1.06,12,311
451046,"Private, quiet, near Gaslamp 2br",931501,Alik,Balboa Park,32.71558356186027,-117.13794600949319,Entire home/apt,191,2,17,2015-04-26,0.45,7,336
504743,"Private, quiet, near Gaslamp 3br",931501,Alik,Balboa Park,32.71514190752296,-117.13896902104064,Entire home/apt,277,2,5,2015-04-18,0.16,7,325
1004524,"Private, quiet, near Gaslamp 2BR",931501,Alik,Balboa Park,32.71619167314246,-117.13906717417196,Entire home/apt,186,2,9,2015-04-12,0.35,7,338
937720,"Charming, lovely home in San Diego",5062900,Susanna,Balboa Park,32.72949881564571,-117.1323571994145,Entire home/apt,145,2,5,2014-08-12,0.21,1,344
2575170,Craftsman for Comic Con,6356408,Dan,Balboa Park,32.71865912128983,-117.1355532271287,Entire home/apt,675,1,0,,,1,365
3469010,Rooms for Comic Con,17476693,Chris,Balboa Park,32.72030418820599,-117.13225414478745,Private room,125,1,1,2014-07-26,0.09,4,348
6746766,Victorian Duplex Unit Comic Con,35321630,Traci,Balboa Park,32.71715226457755,-117.14617622705758,Entire home/apt,325,3,0,,,1,0
5571909,Sweet Arlene,5053524,Shauna,Balboa Park,32.717246608963805,-117.13974540162818,Entire home/apt,85,1,2,2015-06-11,2,2,342
6958402,One bed apt. minutes from downtown,27541658,Irma,Balboa Park,32.72957448592622,-117.15852905390554,Entire home/apt,300,1,0,,,1,352
5927840,Charming Studio in Golden Hill!,30778845,Whitney,Balboa Park,32.71679439575164,-117.14465260244694,Entire home/apt,99,2,7,2015-07-01,2.73,1,2
2017380,Inviting 2br/1ba apt. in uptown SD,10374515,Dez And Tiffany,Balboa Park,32.73529184465175,-117.15784919648468,Entire home/apt,150,1,11,2015-04-27,0.59,1,190
3510645,Modern Apartment in Golden Hill,1028043,Mira And Jesse,Balboa Park,32.715832743924096,-117.14616383379271,Entire home/apt,160,2,13,2015-06-19,1.10,9,348
3383385,Balboa Park Adjacent 3 BD Apartment,11609908,Anika,Balboa Park,32.740982764695026,-117.14628320694109,Entire home/apt,225,3,0,,,1,278
2411304,Historic South Park Private Room ,7883641,Amy,Balboa Park,32.7243674902658,-117.1309188464187,Private room,75,2,80,2015-06-30,4.78,1,266
1010079,Mstr Bdrm in Trendy Neighborhood.,3291073,Christian,Balboa Park,32.718557142749845,-117.13961719798029,Private room,68,3,4,2015-07-06,0.32,1,310
3655962,Classic Craftsman in Golden Hill,1215486,Silas,Balboa Park,32.71541243075993,-117.13945585206649,Entire home/apt,165,2,29,2015-07-06,2.49,1,116
510428,"$150/Night,3 min to Downtown, slep6",861297,Terry,Balboa Park,32.715885962151305,-117.14257477797432,Entire home/apt,150,2,39,2015-06-01,1.05,12,320
6638201,Picturesque Balboa Park 3-Bedroom,8752292,Jeff,Balboa Park,32.74082133348174,-117.14212053450514,Entire home/apt,825,3,0,,,1,15
6436698,Rock'n'Roll Start Line Suite,4315935,Jerome,Balboa Park,32.7284085703901,-117.15883095851792,Private room,550,1,0,,,1,365
5615111,Cozy Duplex w/ Views Near Downtown!,29104656,Jill,Balboa Park,32.7266320257861,-117.13170539996065,Private room,75,1,1,2015-05-17,0.54,1,343
1004842,"Private, quiet, near Gaslamp 4-room",931501,Alik,Balboa Park,32.71510073067495,-117.13716495309335,Entire home/apt,288,2,8,2015-05-17,0.34,7,336
4161477,Sanctuary in the city! ,4693471,Kayla,Balboa Park,32.7239441390918,-117.15936274692912,Entire home/apt,75,1,0,,,1,267
1399006,Private Cottage close to everything,7555876,Eric,Balboa Park,32.718099828490764,-117.13772595971824,Entire home/apt,75,1,60,2015-06-07,2.53,1,191
3617326,Pierce's Place - San Diego,9641658,Kristen,Balboa Park,32.71411685684224,-117.14259855009826,Entire home/apt,120,3,0,,,1,189
5630600,Golden Hill Gem,28773856,A,Balboa Park,32.718765393795735,-117.13571244668309,Private room,169,1,0,,,1,363
6680475,Relaxing Retreat - Midcentury Home,28024713,Priscilla,Balboa Park,32.72717819668663,-117.13303531684686,Entire home/apt,219,3,0,,,1,317
2487317,Private garden and cottage in city!,12728646,Anne And Richard,Balboa Park,32.71468646707335,-117.1435620065352,Entire home/apt,155,2,47,2015-06-27,2.92,1,244
6198037,3 Bedroom Pad by the Park,22922464,Ebraheem,Balboa Park,32.71863227953383,-117.13386617985816,Entire home/apt,125,2,0,,,1,30
6833518,2 miles to Comic Con! Golden Hill.,3130426,Julie,Balboa Park,32.71651566875328,-117.13218931229784,Entire home/apt,300,3,0,,,2,2
6833927,Bright and funky garden bedroom!,3130426,Julie,Balboa Park,32.71692920130439,-117.13407165685234,Private room,60,1,2,2015-06-28,2,2,324
6338030,One Bedroom with Private Yard,33003232,Gina,Balboa Park,32.716873729701334,-117.14207485420559,Entire home/apt,180,1,0,,,1,357
3710647,ROOM FOR COMIC CON,17476693,Chris,Balboa Park,32.71911860499731,-117.1319887109627,Private room,125,1,0,,,4,314
1081159,"Private, quiet, near Gaslamp 8-room",931501,Alik,Balboa Park,32.71684420829806,-117.1389037290133,Entire home/apt,561,1,2,2015-05-25,0.14,7,314
5286581,"Charming, quiet, updated studio",27372085,Stephanie,Balboa Park,32.7151982621571,-117.13866771035568,Entire home/apt,145,1,1,2015-02-17,0.22,1,312
5278064,Cool Casita in South Park!,2325333,Julie,Balboa Park,32.721942335412905,-117.13015482228063,Entire home/apt,60,2,18,2015-06-28,4.22,2,148
3201026,"Victorian Hartwell House, Downtown",16222818,Kwan,Balboa Park,32.72085482144573,-117.14594797399738,Entire home/apt,251,2,22,2015-05-25,1.76,1,341
1072842,Coolest Apt in South Park!,5901435,Justin,Balboa Park,32.72081032001894,-117.12928478255432,Entire home/apt,110,3,22,2015-03-22,0.83,1,197
1932564,House of the Arts near Downtown,1362351,Christian,Balboa Park,32.74122075175911,-117.13717881352851,Entire home/apt,250,4,17,2015-05-22,0.94,2,128
3731702,Welcome Comic Con guests!,19059559,Elzbieta,Balboa Park,32.71648880120524,-117.14354707651964,Private room,99,1,1,2015-03-17,0.28,1,311
5839596,Great space and centrally located!,30319497,Marcel,Balboa Park,32.716512369724846,-117.12975843139898,Shared room,40,1,10,2015-06-27,3.85,2,321
5315499,Historic flat with a downtown view,19696789,Michelle,Balboa Park,32.71883637347465,-117.14148792302373,Entire home/apt,199,2,0,,,1,358
1101470,Gorgeous Apt with Skyline Views,3134951,Eric,Balboa Park,32.71978234060079,-117.14281397104946,Entire home/apt,145,2,10,2015-06-16,0.75,5,311
6345235,Cozee Studio. San Diego Near Park,19524419,Marc,Balboa Park,32.71643467637008,-117.14023704635001,Entire home/apt,75,1,2,2015-06-21,2,2,310
5812460,Loretta,5053524,Shauna,Balboa Park,32.71745334286821,-117.14172396899271,Entire home/apt,100,1,1,2015-04-02,0.33,2,334
5845283,Quaint room in friendly home,19984817,Bethany,Balboa Park,32.71408271496037,-117.13894696817502,Private room,60,1,14,2015-06-15,5.53,2,235
6902290,"Quiet. Luxurious, Hotel-Like Condo",115150,Mario,Balboa Park,32.723628656671345,-117.15766980598781,Entire home/apt,500,1,0,,,2,3
5845497,Private Room in an Amazing House!,18684207,Dave,Balboa Park,32.715646576478875,-117.14511633506045,Private room,64,2,9,2015-06-26,3.91,2,337
1127311,Spectacular Bed/Bath in Golden Hill,6183960,Susan,Balboa Park,32.71723634919483,-117.13219663856515,Private room,60,2,67,2015-06-21,2.66,1,313
1672447,"Luxury, Mid Century Mod Retreat :)!",1393050,Erik & Summer,Balboa Park,32.72124925788318,-117.14455503360995,Entire home/apt,189,2,32,2015-06-26,1.49,1,334
3240726,South Park Contemporary,16396099,Jennifer,Balboa Park,32.72574734177892,-117.13213557170057,Entire home/apt,170,3,8,2015-05-29,0.65,3,260
6716302,Centrally Located Craftsman Retreat,13488098,Ekhlas,Balboa Park,32.72016121084096,-117.13648259030383,Private room,85,1,6,2015-06-30,6,1,355
1167950,Craftsman Bungalow in South Park,6188494,Sarah,Balboa Park,32.723854019121596,-117.13214910045022,Entire home/apt,220,6,2,2013-07-28,0.08,1,303
641013,Bed and Bike Downtown San Diego,3201412,Angela & David,Balboa Park,32.716680817361315,-117.14704320922453,Private room,70,3,48,2015-06-23,2.05,1,326
5890940,Great location - Family home,30593431,Alex,Bay Ho,32.82325871337768,-117.22585759544086,Entire home/apt,154,1,8,2015-06-28,3.81,1,236
6238319,BackYard Space for Camping!,17800026,Matt,Bay Ho,32.832525001495675,-117.2187326957041,Private room,20,1,0,,,2,350
